"IDE_PEDIDO","IDE_PEDIDO_EST","DES_PEDIDO","IDE_PROVEEDOR","DES_PROVEEDOR"
12925,"SO MIG102526","ORDER SALES MIG102526","FedEx","CARRIER FedEx"
12926,"SO MIG102527","ORDER SALES MIG102527","FedEx","CARRIER FedEx"
12927,"SO MIG102528","ORDER SALES MIG102528","FedEx","CARRIER FedEx"
12928,"SO MIG102529","ORDER SALES MIG102529","FedEx","CARRIER FedEx"
12929,"SO MIG102530","ORDER SALES MIG102530","FedEx","CARRIER FedEx"
12930,"SO MIG102531","ORDER SALES MIG102531","FedEx","CARRIER FedEx"
12931,"SO MIG102532","ORDER SALES MIG102532","FedEx","CARRIER FedEx"
12932,"SO MIG102533","ORDER SALES MIG102533","FedEx","CARRIER FedEx"
12933,"SO MIG102534","ORDER SALES MIG102534","FedEx","CARRIER FedEx"
12934,"SO MIG102535","ORDER SALES MIG102535","FedEx","CARRIER FedEx"
12935,"SO MIG102536","ORDER SALES MIG102536","FedEx","CARRIER FedEx"
12936,"SO MIG102537","ORDER SALES MIG102537","FedEx","CARRIER FedEx"
12937,"SO MIG102538","ORDER SALES MIG102538","FedEx","CARRIER FedEx"
12938,"SO MIG102539","ORDER SALES MIG102539","FedEx","CARRIER FedEx"
12939,"SO MIG102540","ORDER SALES MIG102540","FedEx","CARRIER FedEx"
12940,"SO MIG102541","ORDER SALES MIG102541","FedEx","CARRIER FedEx"
12941,"SO MIG102542","ORDER SALES MIG102542","FedEx","CARRIER FedEx"
12942,"SO MIG102543","ORDER SALES MIG102543","FedEx","CARRIER FedEx"
12943,"SO MIG102544","ORDER SALES MIG102544","FedEx","CARRIER FedEx"
12944,"SO MIG102545","ORDER SALES MIG102545","FedEx","CARRIER FedEx"
12945,"SO MIG102546","ORDER SALES MIG102546","FedEx","CARRIER FedEx"
12946,"SO MIG102547","ORDER SALES MIG102547","FedEx","CARRIER FedEx"
12947,"SO MIG102548","ORDER SALES MIG102548","FedEx","CARRIER FedEx"
12948,"SO MIG102549","ORDER SALES MIG102549","FedEx","CARRIER FedEx"
12949,"SO MIG102550","ORDER SALES MIG102550","FedEx","CARRIER FedEx"
12950,"SO MIG102551","ORDER SALES MIG102551","FedEx","CARRIER FedEx"
12951,"SO MIG102552","ORDER SALES MIG102552","FedEx","CARRIER FedEx"
12952,"SO MIG102553","ORDER SALES MIG102553","FedEx","CARRIER FedEx"
12953,"SO MIG102554","ORDER SALES MIG102554","FedEx","CARRIER FedEx"
12954,"SO MIG102555","ORDER SALES MIG102555","FedEx","CARRIER FedEx"
12955,"SO MIG102556","ORDER SALES MIG102556","FedEx","CARRIER FedEx"
12956,"SO MIG102557","ORDER SALES MIG102557","FedEx","CARRIER FedEx"
12957,"SO MIG102558","ORDER SALES MIG102558","FedEx","CARRIER FedEx"
12958,"SO MIG102559","ORDER SALES MIG102559","FedEx","CARRIER FedEx"
12959,"SO MIG102560","ORDER SALES MIG102560","FedEx","CARRIER FedEx"
12960,"SO MIG102561","ORDER SALES MIG102561","FedEx","CARRIER FedEx"
12961,"SO MIG102562","ORDER SALES MIG102562","FedEx","CARRIER FedEx"
12962,"SO MIG102563","ORDER SALES MIG102563","FedEx","CARRIER FedEx"
12963,"SO MIG102564","ORDER SALES MIG102564","FedEx","CARRIER FedEx"
12964,"SO MIG102565","ORDER SALES MIG102565","FedEx","CARRIER FedEx"
12965,"SO MIG102566","ORDER SALES MIG102566","FedEx","CARRIER FedEx"
12966,"SO MIG102567","ORDER SALES MIG102567","FedEx","CARRIER FedEx"
12967,"SO MIG102568","ORDER SALES MIG102568","FedEx","CARRIER FedEx"
12968,"SO MIG102569","ORDER SALES MIG102569","FedEx","CARRIER FedEx"
12969,"SO MIG102570","ORDER SALES MIG102570","FedEx","CARRIER FedEx"
12970,"SO MIG102571","ORDER SALES MIG102571","FedEx","CARRIER FedEx"
12971,"SO MIG102572","ORDER SALES MIG102572","FedEx","CARRIER FedEx"
12972,"SO MIG102573","ORDER SALES MIG102573","FedEx","CARRIER FedEx"
12973,"SO MIG102574","ORDER SALES MIG102574","FedEx","CARRIER FedEx"
12974,"SO MIG102575","ORDER SALES MIG102575","FedEx","CARRIER FedEx"
12975,"SO MIG102576","ORDER SALES MIG102576","FedEx","CARRIER FedEx"
12976,"SO MIG102577","ORDER SALES MIG102577","FedEx","CARRIER FedEx"
12977,"SO MIG102578","ORDER SALES MIG102578","FedEx","CARRIER FedEx"
12978,"SO MIG102579","ORDER SALES MIG102579","FedEx","CARRIER FedEx"
12979,"SO MIG102580","ORDER SALES MIG102580","FedEx","CARRIER FedEx"
12980,"SO MIG102581","ORDER SALES MIG102581","FedEx","CARRIER FedEx"
12981,"SO MIG102582","ORDER SALES MIG102582","FedEx","CARRIER FedEx"
12982,"SO MIG102583","ORDER SALES MIG102583","FedEx","CARRIER FedEx"
12983,"SO MIG102584","ORDER SALES MIG102584","FedEx","CARRIER FedEx"
12984,"SO MIG102585","ORDER SALES MIG102585","FedEx","CARRIER FedEx"
12985,"SO MIG102586","ORDER SALES MIG102586","FedEx","CARRIER FedEx"
12986,"SO MIG102587","ORDER SALES MIG102587","FedEx","CARRIER FedEx"
12987,"SO MIG102588","ORDER SALES MIG102588","FedEx","CARRIER FedEx"
12988,"SO MIG102589","ORDER SALES MIG102589","FedEx","CARRIER FedEx"
12989,"SO MIG102590","ORDER SALES MIG102590","FedEx","CARRIER FedEx"
12990,"SO MIG102591","ORDER SALES MIG102591","FedEx","CARRIER FedEx"
12991,"SO MIG102592","ORDER SALES MIG102592","FedEx","CARRIER FedEx"
12992,"SO MIG102593","ORDER SALES MIG102593","FedEx","CARRIER FedEx"
12993,"SO MIG102594","ORDER SALES MIG102594","FedEx","CARRIER FedEx"
12994,"SO MIG102595","ORDER SALES MIG102595","FedEx","CARRIER FedEx"
12995,"SO MIG102596","ORDER SALES MIG102596","FedEx","CARRIER FedEx"
12996,"SO MIG102597","ORDER SALES MIG102597","FedEx","CARRIER FedEx"
12997,"SO MIG102598","ORDER SALES MIG102598","FedEx","CARRIER FedEx"
12998,"SO MIG102599","ORDER SALES MIG102599","FedEx","CARRIER FedEx"
12999,"SO MIG102600","ORDER SALES MIG102600","FedEx","CARRIER FedEx"
13000,"SO MIG102601","ORDER SALES MIG102601","FedEx","CARRIER FedEx"
13001,"SO MIG102602","ORDER SALES MIG102602","FedEx","CARRIER FedEx"
13002,"SO MIG102603","ORDER SALES MIG102603","FedEx","CARRIER FedEx"
13003,"SO MIG102604","ORDER SALES MIG102604","FedEx","CARRIER FedEx"
13004,"SO MIG102605","ORDER SALES MIG102605","FedEx","CARRIER FedEx"
13005,"SO MIG102606","ORDER SALES MIG102606","FedEx","CARRIER FedEx"
13006,"SO MIG102607","ORDER SALES MIG102607","FedEx","CARRIER FedEx"
13007,"SO MIG102608","ORDER SALES MIG102608","FedEx","CARRIER FedEx"
13008,"SO MIG102609","ORDER SALES MIG102609","FedEx","CARRIER FedEx"
13009,"SO MIG102610","ORDER SALES MIG102610","FedEx","CARRIER FedEx"
13010,"SO MIG102611","ORDER SALES MIG102611","FedEx","CARRIER FedEx"
13011,"SO MIG102612","ORDER SALES MIG102612","FedEx","CARRIER FedEx"
13012,"SO MIG102613","ORDER SALES MIG102613","FedEx","CARRIER FedEx"
13013,"SO MIG102614","ORDER SALES MIG102614","FedEx","CARRIER FedEx"
13014,"SO MIG102615","ORDER SALES MIG102615","FedEx","CARRIER FedEx"
13015,"SO MIG102616","ORDER SALES MIG102616","FedEx","CARRIER FedEx"
13016,"SO MIG102617","ORDER SALES MIG102617","FedEx","CARRIER FedEx"
13017,"SO MIG102618","ORDER SALES MIG102618","FedEx","CARRIER FedEx"
13018,"SO MIG102619","ORDER SALES MIG102619","FedEx","CARRIER FedEx"
13019,"SO MIG102620","ORDER SALES MIG102620","FedEx","CARRIER FedEx"
13020,"SO MIG102621","ORDER SALES MIG102621","FedEx","CARRIER FedEx"
13021,"SO MIG102622","ORDER SALES MIG102622","FedEx","CARRIER FedEx"
13022,"SO MIG102623","ORDER SALES MIG102623","FedEx","CARRIER FedEx"
13023,"SO MIG102624","ORDER SALES MIG102624","FedEx","CARRIER FedEx"
13024,"SO MIG102625","ORDER SALES MIG102625","FedEx","CARRIER FedEx"
13025,"SO MIG102626","ORDER SALES MIG102626","FedEx","CARRIER FedEx"
13026,"SO MIG102627","ORDER SALES MIG102627","FedEx","CARRIER FedEx"
13027,"SO MIG102628","ORDER SALES MIG102628","FedEx","CARRIER FedEx"
13028,"SO MIG102629","ORDER SALES MIG102629","FedEx","CARRIER FedEx"
13029,"SO MIG102630","ORDER SALES MIG102630","FedEx","CARRIER FedEx"
13030,"SO MIG102631","ORDER SALES MIG102631","FedEx","CARRIER FedEx"
13031,"SO MIG102632","ORDER SALES MIG102632","FedEx","CARRIER FedEx"
13032,"SO MIG102633","ORDER SALES MIG102633","FedEx","CARRIER FedEx"
13033,"SO MIG102634","ORDER SALES MIG102634","FedEx","CARRIER FedEx"
13034,"SO MIG102635","ORDER SALES MIG102635","FedEx","CARRIER FedEx"
13035,"SO MIG102636","ORDER SALES MIG102636","FedEx","CARRIER FedEx"
13036,"SO MIG102637","ORDER SALES MIG102637","FedEx","CARRIER FedEx"
13037,"SO MIG102638","ORDER SALES MIG102638","FedEx","CARRIER FedEx"
13038,"SO MIG102639","ORDER SALES MIG102639","FedEx","CARRIER FedEx"
13039,"SO MIG102640","ORDER SALES MIG102640","FedEx","CARRIER FedEx"
13040,"SO MIG102641","ORDER SALES MIG102641","FedEx","CARRIER FedEx"
13041,"SO MIG102642","ORDER SALES MIG102642","FedEx","CARRIER FedEx"
13042,"SO MIG102643","ORDER SALES MIG102643","FedEx","CARRIER FedEx"
13043,"SO MIG102644","ORDER SALES MIG102644","FedEx","CARRIER FedEx"
13044,"SO MIG102645","ORDER SALES MIG102645","FedEx","CARRIER FedEx"
13045,"SO MIG102646","ORDER SALES MIG102646","FedEx","CARRIER FedEx"
13046,"SO MIG102647","ORDER SALES MIG102647","FedEx","CARRIER FedEx"
13047,"SO MIG102648","ORDER SALES MIG102648","FedEx","CARRIER FedEx"
13048,"SO MIG102649","ORDER SALES MIG102649","FedEx","CARRIER FedEx"
13049,"SO MIG102650","ORDER SALES MIG102650","FedEx","CARRIER FedEx"
13050,"SO MIG102651","ORDER SALES MIG102651","FedEx","CARRIER FedEx"
13051,"SO MIG102652","ORDER SALES MIG102652","FedEx","CARRIER FedEx"
13052,"SO MIG102653","ORDER SALES MIG102653","FedEx","CARRIER FedEx"
13053,"SO MIG102654","ORDER SALES MIG102654","FedEx","CARRIER FedEx"
13054,"SO MIG102655","ORDER SALES MIG102655","FedEx","CARRIER FedEx"
13055,"SO MIG102656","ORDER SALES MIG102656","FedEx","CARRIER FedEx"
13056,"SO MIG102657","ORDER SALES MIG102657","FedEx","CARRIER FedEx"
13057,"SO MIG102658","ORDER SALES MIG102658","FedEx","CARRIER FedEx"
13058,"SO MIG102659","ORDER SALES MIG102659","FedEx","CARRIER FedEx"
13059,"SO MIG102660","ORDER SALES MIG102660","FedEx","CARRIER FedEx"
13060,"SO MIG102661","ORDER SALES MIG102661","FedEx","CARRIER FedEx"
13061,"SO MIG102662","ORDER SALES MIG102662","FedEx","CARRIER FedEx"
13062,"SO MIG102663","ORDER SALES MIG102663","FedEx","CARRIER FedEx"
13063,"SO MIG102664","ORDER SALES MIG102664","FedEx","CARRIER FedEx"
13064,"SO MIG102665","ORDER SALES MIG102665","FedEx","CARRIER FedEx"
13065,"SO MIG102666","ORDER SALES MIG102666","FedEx","CARRIER FedEx"
13066,"SO MIG102667","ORDER SALES MIG102667","FedEx","CARRIER FedEx"
13067,"SO MIG102668","ORDER SALES MIG102668","FedEx","CARRIER FedEx"
13068,"SO MIG102669","ORDER SALES MIG102669","FedEx","CARRIER FedEx"
13069,"SO MIG102670","ORDER SALES MIG102670","FedEx","CARRIER FedEx"
13070,"SO MIG102671","ORDER SALES MIG102671","FedEx","CARRIER FedEx"
13071,"SO MIG102672","ORDER SALES MIG102672","FedEx","CARRIER FedEx"
13072,"SO MIG102673","ORDER SALES MIG102673","FedEx","CARRIER FedEx"
13073,"SO MIG102674","ORDER SALES MIG102674","FedEx","CARRIER FedEx"
13074,"SO MIG102675","ORDER SALES MIG102675","FedEx","CARRIER FedEx"
13075,"SO MIG102676","ORDER SALES MIG102676","FedEx","CARRIER FedEx"
13076,"SO MIG102677","ORDER SALES MIG102677","FedEx","CARRIER FedEx"
13077,"SO MIG102678","ORDER SALES MIG102678","FedEx","CARRIER FedEx"
13078,"SO MIG102679","ORDER SALES MIG102679","FedEx","CARRIER FedEx"
13079,"SO MIG102680","ORDER SALES MIG102680","FedEx","CARRIER FedEx"
13080,"SO MIG102681","ORDER SALES MIG102681","FedEx","CARRIER FedEx"
13081,"SO MIG102682","ORDER SALES MIG102682","FedEx","CARRIER FedEx"
13082,"SO MIG102683","ORDER SALES MIG102683","FedEx","CARRIER FedEx"
13083,"SO MIG102684","ORDER SALES MIG102684","FedEx","CARRIER FedEx"
13084,"SO MIG102685","ORDER SALES MIG102685","FedEx","CARRIER FedEx"
13085,"SO MIG102686","ORDER SALES MIG102686","FedEx","CARRIER FedEx"
13086,"SO MIG102687","ORDER SALES MIG102687","FedEx","CARRIER FedEx"
13087,"SO MIG102688","ORDER SALES MIG102688","FedEx","CARRIER FedEx"
13088,"SO MIG102689","ORDER SALES MIG102689","FedEx","CARRIER FedEx"
13089,"SO MIG102690","ORDER SALES MIG102690","FedEx","CARRIER FedEx"
13090,"SO MIG102691","ORDER SALES MIG102691","FedEx","CARRIER FedEx"
13091,"SO MIG102692","ORDER SALES MIG102692","FedEx","CARRIER FedEx"
13092,"SO MIG102693","ORDER SALES MIG102693","FedEx","CARRIER FedEx"
13093,"SO MIG102694","ORDER SALES MIG102694","FedEx","CARRIER FedEx"
13094,"SO MIG102695","ORDER SALES MIG102695","FedEx","CARRIER FedEx"
13095,"SO MIG102696","ORDER SALES MIG102696","FedEx","CARRIER FedEx"
13096,"SO MIG102697","ORDER SALES MIG102697","FedEx","CARRIER FedEx"
13097,"SO MIG102698","ORDER SALES MIG102698","FedEx","CARRIER FedEx"
13098,"SO MIG102699","ORDER SALES MIG102699","FedEx","CARRIER FedEx"
13099,"SO MIG102700","ORDER SALES MIG102700","FedEx","CARRIER FedEx"
13100,"SO MIG102701","ORDER SALES MIG102701","FedEx","CARRIER FedEx"
13101,"SO MIG102702","ORDER SALES MIG102702","FedEx","CARRIER FedEx"
13102,"SO MIG102703","ORDER SALES MIG102703","FedEx","CARRIER FedEx"
13103,"SO MIG102704","ORDER SALES MIG102704","FedEx","CARRIER FedEx"
13104,"SO MIG102705","ORDER SALES MIG102705","FedEx","CARRIER FedEx"
13105,"SO MIG102706","ORDER SALES MIG102706","FedEx","CARRIER FedEx"
13106,"SO MIG102707","ORDER SALES MIG102707","FedEx","CARRIER FedEx"
13107,"SO MIG102708","ORDER SALES MIG102708","FedEx","CARRIER FedEx"
13108,"SO MIG102709","ORDER SALES MIG102709","FedEx","CARRIER FedEx"
13109,"SO MIG102710","ORDER SALES MIG102710","FedEx","CARRIER FedEx"
13110,"SO MIG102711","ORDER SALES MIG102711","FedEx","CARRIER FedEx"
13111,"SO MIG102712","ORDER SALES MIG102712","FedEx","CARRIER FedEx"
13112,"SO MIG102713","ORDER SALES MIG102713","FedEx","CARRIER FedEx"
13113,"SO MIG102714","ORDER SALES MIG102714","FedEx","CARRIER FedEx"
13114,"SO MIG102715","ORDER SALES MIG102715","FedEx","CARRIER FedEx"
13115,"SO MIG102716","ORDER SALES MIG102716","FedEx","CARRIER FedEx"
13116,"SO MIG102717","ORDER SALES MIG102717","FedEx","CARRIER FedEx"
13117,"SO MIG102718","ORDER SALES MIG102718","FedEx","CARRIER FedEx"
13118,"SO MIG102719","ORDER SALES MIG102719","FedEx","CARRIER FedEx"
13119,"SO MIG102720","ORDER SALES MIG102720","FedEx","CARRIER FedEx"
13120,"SO MIG102721","ORDER SALES MIG102721","FedEx","CARRIER FedEx"
13121,"SO MIG102722","ORDER SALES MIG102722","FedEx","CARRIER FedEx"
13122,"SO MIG102723","ORDER SALES MIG102723","FedEx","CARRIER FedEx"
13123,"SO MIG102724","ORDER SALES MIG102724","FedEx","CARRIER FedEx"
13124,"SO MIG102725","ORDER SALES MIG102725","FedEx","CARRIER FedEx"
13125,"SO MIG102726","ORDER SALES MIG102726","FedEx","CARRIER FedEx"
13126,"SO MIG102727","ORDER SALES MIG102727","FedEx","CARRIER FedEx"
13127,"SO MIG102728","ORDER SALES MIG102728","FedEx","CARRIER FedEx"
13128,"SO MIG102729","ORDER SALES MIG102729","FedEx","CARRIER FedEx"
13129,"SO MIG102730","ORDER SALES MIG102730","FedEx","CARRIER FedEx"
13130,"SO MIG102731","ORDER SALES MIG102731","FedEx","CARRIER FedEx"
13131,"SO MIG102732","ORDER SALES MIG102732","FedEx","CARRIER FedEx"
13132,"SO MIG102733","ORDER SALES MIG102733","FedEx","CARRIER FedEx"
13133,"SO MIG102734","ORDER SALES MIG102734","FedEx","CARRIER FedEx"
13134,"SO MIG102735","ORDER SALES MIG102735","FedEx","CARRIER FedEx"
13135,"SO MIG102736","ORDER SALES MIG102736","FedEx","CARRIER FedEx"
13136,"SO MIG102737","ORDER SALES MIG102737","FedEx","CARRIER FedEx"
13137,"SO MIG102738","ORDER SALES MIG102738","FedEx","CARRIER FedEx"
13138,"SO MIG102739","ORDER SALES MIG102739","FedEx","CARRIER FedEx"
13139,"SO MIG102740","ORDER SALES MIG102740","FedEx","CARRIER FedEx"
13140,"SO MIG102741","ORDER SALES MIG102741","FedEx","CARRIER FedEx"
13141,"SO MIG102742","ORDER SALES MIG102742","FedEx","CARRIER FedEx"
13142,"SO MIG102743","ORDER SALES MIG102743","FedEx","CARRIER FedEx"
13143,"SO MIG102744","ORDER SALES MIG102744","FedEx","CARRIER FedEx"
13144,"SO MIG102745","ORDER SALES MIG102745","FedEx","CARRIER FedEx"
13145,"SO MIG102746","ORDER SALES MIG102746","FedEx","CARRIER FedEx"
13146,"SO MIG102747","ORDER SALES MIG102747","FedEx","CARRIER FedEx"
13147,"SO MIG102748","ORDER SALES MIG102748","FedEx","CARRIER FedEx"
13148,"SO MIG102749","ORDER SALES MIG102749","FedEx","CARRIER FedEx"
13149,"SO MIG102750","ORDER SALES MIG102750","FedEx","CARRIER FedEx"
13150,"SO MIG102751","ORDER SALES MIG102751","FedEx","CARRIER FedEx"
13151,"SO MIG102752","ORDER SALES MIG102752","FedEx","CARRIER FedEx"
13152,"SO MIG102753","ORDER SALES MIG102753","FedEx","CARRIER FedEx"
13153,"SO MIG102754","ORDER SALES MIG102754","FedEx","CARRIER FedEx"
13154,"SO MIG102755","ORDER SALES MIG102755","FedEx","CARRIER FedEx"
13155,"SO MIG102756","ORDER SALES MIG102756","FedEx","CARRIER FedEx"
13156,"SO MIG102757","ORDER SALES MIG102757","FedEx","CARRIER FedEx"
13157,"SO MIG102758","ORDER SALES MIG102758","FedEx","CARRIER FedEx"
13158,"SO MIG102759","ORDER SALES MIG102759","FedEx","CARRIER FedEx"
13159,"SO MIG102760","ORDER SALES MIG102760","FedEx","CARRIER FedEx"
13160,"SO MIG102761","ORDER SALES MIG102761","FedEx","CARRIER FedEx"
13161,"SO MIG102762","ORDER SALES MIG102762","FedEx","CARRIER FedEx"
13162,"SO MIG102763","ORDER SALES MIG102763","FedEx","CARRIER FedEx"
13163,"SO MIG102764","ORDER SALES MIG102764","FedEx","CARRIER FedEx"
13164,"SO MIG102765","ORDER SALES MIG102765","FedEx","CARRIER FedEx"
13165,"SO MIG102766","ORDER SALES MIG102766","FedEx","CARRIER FedEx"
13166,"SO MIG102767","ORDER SALES MIG102767","FedEx","CARRIER FedEx"
13167,"SO MIG102768","ORDER SALES MIG102768","FedEx","CARRIER FedEx"
13168,"SO MIG102769","ORDER SALES MIG102769","FedEx","CARRIER FedEx"
13169,"SO MIG102770","ORDER SALES MIG102770","FedEx","CARRIER FedEx"
13170,"SO MIG102771","ORDER SALES MIG102771","FedEx","CARRIER FedEx"
13171,"SO MIG102772","ORDER SALES MIG102772","FedEx","CARRIER FedEx"
13172,"SO MIG102773","ORDER SALES MIG102773","FedEx","CARRIER FedEx"
13173,"SO MIG102774","ORDER SALES MIG102774","FedEx","CARRIER FedEx"
13174,"SO MIG102775","ORDER SALES MIG102775","FedEx","CARRIER FedEx"
13175,"SO MIG102776","ORDER SALES MIG102776","FedEx","CARRIER FedEx"
13176,"SO MIG102777","ORDER SALES MIG102777","FedEx","CARRIER FedEx"
13177,"SO MIG102778","ORDER SALES MIG102778","FedEx","CARRIER FedEx"
13178,"SO MIG102779","ORDER SALES MIG102779","FedEx","CARRIER FedEx"
13179,"SO MIG102780","ORDER SALES MIG102780","FedEx","CARRIER FedEx"
13180,"SO MIG102781","ORDER SALES MIG102781","FedEx","CARRIER FedEx"
13181,"SO MIG102782","ORDER SALES MIG102782","FedEx","CARRIER FedEx"
13182,"SO MIG102783","ORDER SALES MIG102783","FedEx","CARRIER FedEx"
13183,"SO MIG102784","ORDER SALES MIG102784","FedEx","CARRIER FedEx"
13184,"SO MIG102785","ORDER SALES MIG102785","FedEx","CARRIER FedEx"
13185,"SO MIG102786","ORDER SALES MIG102786","FedEx","CARRIER FedEx"
13186,"SO MIG102787","ORDER SALES MIG102787","FedEx","CARRIER FedEx"
13187,"SO MIG102788","ORDER SALES MIG102788","FedEx","CARRIER FedEx"
13188,"SO MIG102789","ORDER SALES MIG102789","FedEx","CARRIER FedEx"
13189,"SO MIG102790","ORDER SALES MIG102790","FedEx","CARRIER FedEx"
13190,"SO MIG102791","ORDER SALES MIG102791","FedEx","CARRIER FedEx"
13191,"SO MIG102792","ORDER SALES MIG102792","FedEx","CARRIER FedEx"
13192,"SO MIG102793","ORDER SALES MIG102793","FedEx","CARRIER FedEx"
13193,"SO MIG102794","ORDER SALES MIG102794","FedEx","CARRIER FedEx"
13194,"SO MIG102795","ORDER SALES MIG102795","FedEx","CARRIER FedEx"
13195,"SO MIG102796","ORDER SALES MIG102796","FedEx","CARRIER FedEx"
13196,"SO MIG102797","ORDER SALES MIG102797","FedEx","CARRIER FedEx"
13197,"SO MIG102798","ORDER SALES MIG102798","FedEx","CARRIER FedEx"
13198,"SO MIG102799","ORDER SALES MIG102799","FedEx","CARRIER FedEx"
13199,"SO MIG102800","ORDER SALES MIG102800","FedEx","CARRIER FedEx"
13200,"SO MIG102801","ORDER SALES MIG102801","FedEx","CARRIER FedEx"
13201,"SO MIG102802","ORDER SALES MIG102802","FedEx","CARRIER FedEx"
13202,"SO MIG102803","ORDER SALES MIG102803","FedEx","CARRIER FedEx"
13203,"SO MIG102804","ORDER SALES MIG102804","FedEx","CARRIER FedEx"
13204,"SO MIG102805","ORDER SALES MIG102805","FedEx","CARRIER FedEx"
13205,"SO MIG102806","ORDER SALES MIG102806","FedEx","CARRIER FedEx"
13206,"SO MIG102807","ORDER SALES MIG102807","FedEx","CARRIER FedEx"
13207,"SO MIG102808","ORDER SALES MIG102808","FedEx","CARRIER FedEx"
13208,"SO MIG102809","ORDER SALES MIG102809","FedEx","CARRIER FedEx"
13209,"SO MIG102810","ORDER SALES MIG102810","FedEx","CARRIER FedEx"
13210,"SO MIG102811","ORDER SALES MIG102811","FedEx","CARRIER FedEx"
13211,"SO MIG102812","ORDER SALES MIG102812","FedEx","CARRIER FedEx"
13212,"SO MIG102813","ORDER SALES MIG102813","FedEx","CARRIER FedEx"
13213,"SO MIG102814","ORDER SALES MIG102814","FedEx","CARRIER FedEx"
13214,"SO MIG102815","ORDER SALES MIG102815","FedEx","CARRIER FedEx"
13215,"SO MIG102816","ORDER SALES MIG102816","FedEx","CARRIER FedEx"
13216,"SO MIG102817","ORDER SALES MIG102817","FedEx","CARRIER FedEx"
13217,"SO MIG102818","ORDER SALES MIG102818","FedEx","CARRIER FedEx"
13218,"SO MIG102819","ORDER SALES MIG102819","FedEx","CARRIER FedEx"
13219,"SO MIG102820","ORDER SALES MIG102820","FedEx","CARRIER FedEx"
13220,"SO MIG102821","ORDER SALES MIG102821","FedEx","CARRIER FedEx"
13221,"SO MIG102822","ORDER SALES MIG102822","FedEx","CARRIER FedEx"
13222,"SO MIG102823","ORDER SALES MIG102823","FedEx","CARRIER FedEx"
13223,"SO MIG102824","ORDER SALES MIG102824","FedEx","CARRIER FedEx"
13224,"SO MIG102825","ORDER SALES MIG102825","FedEx","CARRIER FedEx"
13225,"SO MIG102826","ORDER SALES MIG102826","FedEx","CARRIER FedEx"
13226,"SO MIG102827","ORDER SALES MIG102827","FedEx","CARRIER FedEx"
13227,"SO MIG102828","ORDER SALES MIG102828","FedEx","CARRIER FedEx"
13228,"SO MIG102829","ORDER SALES MIG102829","FedEx","CARRIER FedEx"
13229,"SO MIG102830","ORDER SALES MIG102830","FedEx","CARRIER FedEx"
13230,"SO MIG102831","ORDER SALES MIG102831","FedEx","CARRIER FedEx"
13231,"SO MIG102832","ORDER SALES MIG102832","FedEx","CARRIER FedEx"
13232,"SO MIG102833","ORDER SALES MIG102833","FedEx","CARRIER FedEx"
13233,"SO MIG102834","ORDER SALES MIG102834","FedEx","CARRIER FedEx"
13234,"SO MIG102835","ORDER SALES MIG102835","FedEx","CARRIER FedEx"
13235,"SO MIG102836","ORDER SALES MIG102836","FedEx","CARRIER FedEx"
13236,"SO MIG102837","ORDER SALES MIG102837","FedEx","CARRIER FedEx"
13237,"SO MIG102838","ORDER SALES MIG102838","FedEx","CARRIER FedEx"
13238,"SO MIG102839","ORDER SALES MIG102839","FedEx","CARRIER FedEx"
13239,"SO MIG102840","ORDER SALES MIG102840","FedEx","CARRIER FedEx"
13240,"SO MIG102841","ORDER SALES MIG102841","FedEx","CARRIER FedEx"
13241,"SO MIG102842","ORDER SALES MIG102842","FedEx","CARRIER FedEx"
13242,"SO MIG102843","ORDER SALES MIG102843","FedEx","CARRIER FedEx"
13243,"SO MIG102844","ORDER SALES MIG102844","FedEx","CARRIER FedEx"
13244,"SO MIG102845","ORDER SALES MIG102845","FedEx","CARRIER FedEx"
13245,"SO MIG102846","ORDER SALES MIG102846","FedEx","CARRIER FedEx"
13246,"SO MIG102847","ORDER SALES MIG102847","FedEx","CARRIER FedEx"
13247,"SO MIG102848","ORDER SALES MIG102848","FedEx","CARRIER FedEx"
13248,"SO MIG102849","ORDER SALES MIG102849","FedEx","CARRIER FedEx"
13249,"SO MIG102850","ORDER SALES MIG102850","FedEx","CARRIER FedEx"
13250,"SO MIG102851","ORDER SALES MIG102851","FedEx","CARRIER FedEx"
13251,"SO MIG102852","ORDER SALES MIG102852","FedEx","CARRIER FedEx"
13252,"SO MIG102853","ORDER SALES MIG102853","FedEx","CARRIER FedEx"
13253,"SO MIG102854","ORDER SALES MIG102854","FedEx","CARRIER FedEx"
13254,"SO MIG102855","ORDER SALES MIG102855","FedEx","CARRIER FedEx"
13255,"SO MIG102856","ORDER SALES MIG102856","FedEx","CARRIER FedEx"
13256,"SO MIG102857","ORDER SALES MIG102857","FedEx","CARRIER FedEx"
13257,"SO MIG102858","ORDER SALES MIG102858","FedEx","CARRIER FedEx"
13258,"SO MIG102859","ORDER SALES MIG102859","FedEx","CARRIER FedEx"
13259,"SO MIG102860","ORDER SALES MIG102860","FedEx","CARRIER FedEx"
13260,"SO MIG102861","ORDER SALES MIG102861","FedEx","CARRIER FedEx"
13261,"SO MIG102862","ORDER SALES MIG102862","FedEx","CARRIER FedEx"
13262,"SO MIG102863","ORDER SALES MIG102863","FedEx","CARRIER FedEx"
13263,"SO MIG102864","ORDER SALES MIG102864","FedEx","CARRIER FedEx"
